order_id,customer_id,order_date,amount,status
1001,1,2024-01-05,2598.0,Completed
1002,3,2024-01-08,1299.0,Completed
1003,5,2024-01-12,8999.0,Completed
1004,2,2024-01-15,898.0,Cancelled
1005,7,2024-01-18,5998.0,Completed
1006,9,2024-01-22,1398.0,Pending
1007,4,2024-01-25,699.0,Completed
1008,6,2024-01-28,3798.0,Completed
1009,10,2024-02-02,2199.0,Completed
1010,12,2024-02-05,4999.0,Cancelled
1011,13,2024-02-08,1498.0,Completed
1012,15,2024-02-11,798.0,Completed
1013,8,2024-02-14,2798.0,Pending
1014,11,2024-02-17,1199.0,Completed
1015,16,2024-02-20,9998.0,Completed
1016,18,2024-02-23,549.0,Completed
1017,20,2024-02-26,3598.0,Cancelled
1018,14,2024-03-01,1799.0,Completed
1019,17,2024-03-04,448.0,Completed
1020,19,2024-03-07,2498.0,Completed
1021,21,2024-03-10,1299.0,Pending
1022,22,2024-03-13,6998.0,Completed
1023,23,2024-03-16,898.0,Completed
1024,24,2024-03-19,1598.0,Cancelled
1025,25,2024-03-22,2998.0,Completed
1026,26,2024-03-25,4499.0,Completed
1027,1,2024-04-01,1799.0,Completed
1028,5,2024-04-04,3298.0,Completed
1029,7,2024-04-07,5499.0,Cancelled
1030,13,2024-04-10,2399.0,Completed
1031,27,2024-04-13,699.0,Completed
1032,28,2024-04-16,1148.0,Pending
1033,29,2024-04-19,8999.0,Completed
1034,30,2024-04-22,1299.0,Completed
1035,2,2024-04-25,499.0,Completed
1036,31,2024-04-28,2998.0,Cancelled
1037,32,2024-05-01,1799.0,Completed
1038,3,2024-05-04,4999.0,Completed
1039,33,2024-05-07,798.0,Completed
1040,34,2024-05-10,3198.0,Pending
1041,35,2024-05-13,1099.0,Completed
1042,4,2024-05-16,2698.0,Completed
1043,6,2024-05-19,648.0,Cancelled
1044,8,2024-05-22,5299.0,Completed
1045,10,2024-05-25,1999.0,Completed
1046,12,2024-05-28,3499.0,Completed
1047,14,2024-06-01,899.0,Pending
1048,16,2024-06-04,2199.0,Completed
1049,18,2024-06-07,1399.0,Completed
1050,20,2024-06-10,6999.0,Completed
1051,22,2024-06-13,749.0,Cancelled
1052,24,2024-06-16,2499.0,Completed
1053,26,2024-06-19,1299.0,Completed
1054,9,2024-06-22,4799.0,Completed
1055,11,2024-06-25,1698.0,Pending
1056,15,2024-06-28,999.0,Completed
1057,17,2024-07-01,3299.0,Completed
1058,19,2024-07-04,2099.0,Cancelled
1059,21,2024-07-07,1499.0,Completed
1060,23,2024-07-10,849.0,Completed
1061,25,2024-07-13,5799.0,Completed
1062,27,2024-07-16,1199.0,Pending
1063,29,2024-07-19,2899.0,Completed
1064,31,2024-07-22,3999.0,Completed
1065,33,2024-07-25,699.0,Cancelled
1066,35,2024-07-28,1899.0,Completed
1067,1,2024-08-01,4299.0,Completed
1068,5,2024-08-04,2799.0,Completed
1069,7,2024-08-07,1099.0,Pending
1070,13,2024-08-10,6499.0,Completed
1071,2,2024-08-13,549.0,Completed
1072,4,2024-08-16,3799.0,Cancelled
1073,6,2024-08-19,1599.0,Completed
1074,8,2024-08-22,2299.0,Completed
1075,20,2024-09-01,4999.0,Completed
1076,22,2024-09-05,1299.0,Pending
1077,24,2024-09-09,3499.0,Completed
1078,16,2024-09-13,2199.0,Completed
1079,28,2024-09-17,999.0,Cancelled
1080,30,2024-09-21,5299.0,Completed
1081,34,2024-10-01,1799.0,Completed
1082,3,2024-10-06,2999.0,Completed
1083,9,2024-10-11,4499.0,Pending
1084,11,2024-10-16,1299.0,Completed
1085,15,2024-10-21,3299.0,Completed
1086,17,2024-10-26,1099.0,Cancelled
1087,1,2024-11-02,7999.0,Completed
1088,5,2024-11-05,5499.0,Completed
1089,7,2024-11-08,8999.0,Completed
1090,13,2024-11-11,3799.0,Completed
1091,20,2024-11-14,6299.0,Completed
1092,29,2024-11-17,4199.0,Pending
1093,34,2024-11-20,2499.0,Completed
1094,16,2024-12-05,9499.0,Completed
1095,24,2024-12-10,5999.0,Completed
1096,2,2024-12-15,3299.0,Cancelled
1097,8,2024-12-20,7499.0,Completed
1098,12,2024-12-26,2999.0,Completed
1099,30,2025-01-10,1899.0,Completed
1100,35,2025-01-18,3499.0,Pending
1101,19,2025-02-05,2199.0,Completed
1102,27,2025-02-14,4999.0,Completed
1103,33,2025-02-22,1299.0,Completed
1104,6,2025-03-01,3799.0,Cancelled
1105,14,2025-03-10,2099.0,Completed
1106,114,2025-11-13,480.0,Completed
1107,64,2025-12-17,2960.0,Completed
1108,70,2024-12-02,22700.0,Completed
1109,40,2024-03-28,2160.0,Completed
1110,108,2026-01-12,6350.0,Completed
1111,110,2023-10-19,400.0,Completed
1112,84,2024-12-06,17420.0,Completed
1113,5,2026-01-23,16470.0,Pending
1114,11,2023-11-23,390.0,Completed
